,id,site,job_url,job_url_direct,title,company,location,date_posted,job_type,salary_source,interval,min_amount,max_amount,currency,is_remote,job_level,job_function,listing_type,emails,description,company_industry,company_url,company_logo,company_url_direct,company_addresses,company_num_employees,company_revenue,company_description,skills,experience_range,company_rating,company_reviews_count,vacancy_count,work_from_home_type
0,in-be3e8b8d7fa71a19,indeed,https://il.indeed.com/viewjob?jk=be3e8b8d7fa71a19,https://cybellum.com/careers/46.857/,Full Stack Developer,Cybellum,"תל אביב -יפו, TA, IL",2025-08-06,fulltime,,,,,,False,,,,,"**Description**
---------------


Cybellum is a cybersecurity company specializing in keeping physical devices like cars, medical and industrial devices cyber secure.


We are recruiting a talented and highly motivated FullStack Engineer to join our Core Team.


As a FullStack developer at Cybellum, you'll be an integral part of our Core Team, responsible for crafting intuitive and visually stunning user interfaces. Collaborating closely with product management and design teams, you'll translate requirements and Figma mockups into interactive front\-end interfaces using React and TypeScript.


Leveraging your proficiency in Python to develop and maintain backend services that power our web applications. Harnessing your strong SQL skills and experience to design and optimize database schemas. Utilizing Flask and related frameworks to create RESTful APIs, ensuring smooth communication between the front\-end and back\-end components.




**Responsibilities**
--------------------


* Collaborate with product management and design teams to transform requirements and Figma mockups into visually appealing, interactive front\-end interfaces.
* Develop high\-quality, scalable, and reusable code to ensure efficient and seamless user experiences.
* Review code and provide valuable feedback to ensure code quality and maintain best practices.
* Work closely with backend developers and quality assurance teams to integrate and test front\-end components effectively.
* Contribute to the enhancement of development processes and methodologies within the team.




**Requirements**
----------------


* Demonstrated ability to make technological and architectural decisions.
* Experience interfacing with other teams to integrate various parts of the product.
* Conduct design and code reviews to ensure quality and efficiency.
* Excellent problem\-solving skills and the ability to thrive in a collaborative team environment.
* Fluent communication skills in English, both written and verbal.

**Front End Requirements:**

* Minimum 3\+ years of experience as a software engineer.
* Proficiency in Frontend Engineering using React and TypeScript.
* **Strong knowledge of RESTful APIs and integrating front\-end interfaces with back\-end systems.**
* Proven track record as a Front\-end Developer, with a focus on building complex web applications.

**Backend Requirements:**

* Proficiency in **Python** (3\+ years of commercial use).
* Proficiency in web development with **Flask and related frameworks.**
* Strong knowledge of **SQL** (Postgres preferred) and experience with ORM technologies like SqlAlchemy, DjangoORM, etc.
* Git proficiency for version control.
* Familiarity with Docker for containerization.
* Familiarity with **Kubernetes.**


Experience with clouds (AWS, Azure) (optional but beneficial).",,https://il.indeed.com/cmp/Cybellum,,,,,,,,,,,,
1,in-4f2935a6ec844a2e,indeed,https://il.indeed.com/viewjob?jk=4f2935a6ec844a2e,https://www.fiverr.com/jobs/REMuOTU0?coref=1.11.p5E_2715,Fullstack Engineer,Fiverr,"תל אביב -יפו, TA, IL",2025-07-29,fulltime,,,,,,False,,,,,"Are you ready to work on innovative web projects that will reach a wide audience and make a significant impact? If so, you’ve come to the right place.


We’re looking for a Senior Fullstack Developer with at least 6 years of experience to join our fast\-paced, high\-performing team. You’ll be working on exciting and high\-impact features in Fiverr’s Innovation space, integrating LLM\-powered components and shaping next\-gen user interfaces.


This is a great opportunity to contribute to a mission\-critical team, where your expertise will directly influence our product and business KPIs.


You’ll be working in a hybrid environment, an innovative team of developers and AI engineers. With a high degree of ownership and responsibility.



Requirements:


* 6\+ years of experience in Fullstack, someone with hands\-on experience building both the **frontend (React/JS/CSS)** and the **backend (Python)** of large\-scale applications.
* Excellent soft skills, including clear and concise communication, effective context gathering, ownership mindset, and the ability to collaborate across cross\-functional teams.
* Adaptability, problem\-solving skills, and a passion for the position are more important than meeting 100% of the technical requirements.



What am I going to do?:


* Lead end\-to\-end projects with an autonomous, proactive approach.
* Build scalable and high\-performance UIs using React and TypeScript.
* Contribute primarily to backend services with python, with secondary involvement in other languages as required.



Equal opportunities:



At Fiverr, we’re not about checklists. If you don’t meet 100% of the requirements for this role but still feel passionate about the position and think you have the right skills and qualifications to excel at it, we want to hear from you.


At Fiverr, we prioritize diversity. We celebrate difference and embed it into every aspect of our workplace and product, as well as our community. Fiverr is proud and committed to providing equal opportunity employment to all individuals regardless of race, color, religion, sex, sexual orientation, citizenship, national origin, disability, Veteran status, or any other characteristic protected by law. In addition, Fiverr will provide accommodation to individuals with disabilities or a special need.",,https://il.indeed.com/cmp/Fiverr,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/571bdc66ab1c386b921f6f340b88410a,https://www.fiverr.com/,,201 to 500,$1M to $5M (USD),"At Fiverr, it’s our mission to grow and cultivate the world’s largest digital marketplace, a place where people can find and purchase any service they need, and build any business they dream.",,,,,,
2,in-e6ab332efb35832f,indeed,https://il.indeed.com/viewjob?jk=e6ab332efb35832f,https://grnh.se/27baadd68us,Senior Fullstack Software Developer,Apono,"תל אביב -יפו, TA, IL",2025-07-22,,,,,,,False,,,,,"At Apono, we empower organizations to run in the cloud by aligning operations and security around access management. Our platform provides companies with just\-in\-time and Just\-Enough access across their hybrid environments, reducing access risk while improving productivity.

Apono has offices in New York and Tel Aviv and supports dozens of customers across the US and the world, including large Fortune 500 companies and was honored in Gartner's Magic Quadrant for Privileged Access Management.


**What We're Looking For:**



We're seeking an experienced and proactive Senior Full Stack Engineer to join our fast\-paced team. You should be a versatile developer, fluent in building both backend services and polished frontend experiences, with a slight edge toward backend problem\-solving and architectural thinking. We're looking for someone who thrives on owning features end\-to\-end, drives technical excellence, and is eager to shape the future of our product. You won't just write code — you'll take initiative, solve real product challenges, and bring a sharp eye to detail and usability.


**Responsibilities:**


* Design, develop, and maintain full\-stack features using React on the frontend and Kotlin on the backend.
* Own your work across the stack — from schema and APIs to UI and UX.
* Contribute to our infrastructure, testing strategy, and CI/CD pipelines.
* Collaborate closely with product, design, and engineering peers.
* Lead by example: write clean, maintainable code, participate in reviews, and uphold high engineering standards.


**Requirements:**


* 6\+ years of experience building scalable SaaS applications across the stack.
* Strong backend fundamentals — ideally in Kotlin, Java, Go, C\# (or Python, Node.js).
* Solid frontend experience with React (other modern frameworks like Vue or Angular are also acceptable).
* Strong experience working in cloud native environments (AWS/GCP and Docker, Kubernetes) — Deep understanding of deployments and ops exposure.
* Comfortable designing and implementing APIs (REST or GraphQL).
* Experience working with databases — both relational (e.g. PostgreSQL) and NoSQL (e.g. MongoDB)
* Experience writing automated tests and CI/CD workflows.
* Strong system design skills and an ability to lead projects independently.
* Team player with great communication and a passion for building great products.
* Previous startup experience\- strong advantage.


If you're someone who loves solving real\-world problems, owning features end\-to\-end, and building elegant, scalable systems — we'd love to talk!",,https://il.indeed.com/cmp/Apono,,,,,,,,,,,,
3,in-7da49af9abcbbe4b,indeed,https://il.indeed.com/viewjob?jk=7da49af9abcbbe4b,https://ironcircle.bamboohr.com/careers/83?source=indeed&src=indeed&postedDate=2025-07-01,Senior AI Fullstack Developer,IronCircle,"רמת גן, TA, IL",2025-07-01,fulltime,,,,,,False,,,,,"We are seeking a talented and driven Senior AI Fullstack Developer to join our dynamic R\&D team. This role involves developing robust, scalable software solutions, integrating cutting\-edge AI technologies such as GPT and Gemini, and using AWS as our cloud service platform. You will be expected to lead projects from concept to deployment, collaborating closely with cross\-functional teams to innovate and deliver high\-quality products.

 **About Us**



With over 17\+ years of experience, IronCircle is one of the leading global tech education, training, and service providers sending thousands of learners to new and exciting careers, serving and developing tech\-related ecosystems.



In 2018, IronCircle entered the US market via a university partnership model and have successfully partnered with colleges and universities to train the next generation of industry professionals. Unique to our program, TDX Arena is an AI\-fueled powerhouse learning platform that helps learners apply concepts learned in class to real\-world situations.



With over 50,000 cybersecurity alumni worldwide, IronCircle is highly experienced at delivering the most effective accelerated cybersecurity training and educational programs.

 **Responsibilities**


* Design, develop, and deploy full\-stack AI solutions using Python and JavaScript.
* Implement and maintain cloud\-based applications and services on AWS.
* Work with AI models like GPT and Gemini, and frameworks such as LangChain to build intelligent and efficient systems.
* Collaborate with data scientists and backend teams to integrate AI technologies into our products.
* Ensure code quality, sustainability, and scalability.
* Mentor junior developers and contribute to the team's knowledge\-sharing effort.




**Experience/ Skills Required**


* 3\+ years of experience in software development with a strong background in Python and JavaScript.
* Proven experience with AWS cloud services (EC2, S3, Lambda, etc.).
* Extensive experience working with AI models, particularly GPT and Gemini.
* Proficiency in using AI frameworks like LangChain.
* Excellent problem\-solving skills and ability to work in a team\-oriented, collaborative environment.




**Additional Experience/Skills Preferred**


* Master's degree or higher in a relevant field.
* Experience leading a development team or managing large\-scale projects.
* Experience with PHP Laravel framework for web application development.
* Familiarity with DevOps practices and tools (CI/CD pipelines, monitoring, etc.).
* Contributions to open\-source projects or a strong portfolio of relevant projects.
* Advanced certifications in AWS, AI, or machine learning technologies.




**Values**


* Passion is our driver.
* Excellence is how we deliver.
* People are our focus \- learners and employees.
* Change creates opportunity \- we embrace change.\\
* Learning never stops and neither do we.




**Your Success is our Success**



If you're a driven, collaborative person who thrives on breaking new ground and inspiring others to do the same, you’ll feel right at home here. We’re looking for someone who's passionate, high\-performer and pushes boundaries in pursuit of something bigger.



You’re a self\-starter with a “ready to make an impact on day one” mindset—confident in your ability to add real value from the start and grow with us over the long term. If that sounds like you, we think you’ll be a perfect fit.



At our core, we're more than just a company—we're a close\-knit team on a mission to change lives through the power of education. We work hard, we play hard, and we deeply value each person’s contributions toward our shared goals. We can’t wait to welcome the next game\-changer to our team. (Yes, we mean you.)

 **Equal Employer Opportunity (EEO) Statement**



We provide equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, sex, national origin, age, disability or genetics. In addition to federal law requirements, we comply with applicable state and local laws governing nondiscrimination in employment in every location in which the company has facilities.",,https://il.indeed.com/cmp/Ironcircle,,,,,,,,,,,,
4,in-a6a3bff979795fe5,indeed,https://il.indeed.com/viewjob?jk=a6a3bff979795fe5,https://www.comeet.com/jobs/sensi/E7.00F/llm-applications-developer/56.859?coref=1.11.p5E_A611,LLM Applications Developer,Sensi S.R.L.,"תל אביב -יפו, TA, IL",2025-06-24,fulltime,,,,,,False,,,,,"**Join Our Mission at Sensi.AI**


At Sensi.AI, we are dedicated to creating a world where every older adult receives the care they truly deserve. Guided by compassion and driven by innovation, we aim to redefine the future of caregiving. If you’re passionate about making a meaningful impact, join us in advancing Sensi.AI’s virtual assessment tool. This cutting\-edge technology monitors seniors' health in their homes 24/7, delivering emergency alerts, actionable insights, and predictive analysis to enable proactive and effective care.


Here, you’ll discover exciting opportunities for professional growth, make a direct and meaningful impact on our products and company, and contribute to a mission that truly matters.

 **About The Role**


As an **LLM Applications Developer** at Sensi.AI, you will focus on designing and implementing applications that integrate Large Language Models (LLMs) and external AI services into production systems. Working as part of the Platform Tech Lead, you’ll be responsible for building scalable, reliable solutions, engineering prompts, and collaborating with R\&D and Product teams to deliver high\-impact features.

 **Key Responsibilities**

* Design, develop, and maintain backend services and applications that integrate LLMs and 3rd party AI services into production systems.
* Engineer and optimize prompts for various AI models to ensure accuracy, performance, and relevance.
* Build scalable and reliable solutions that meet product and business requirements.
* Collaborate with R\&D and Product teams to define and implement technical solutions.
* Research and evaluate new AI models and tools, contributing to their adoption in production.



Requirements:


* **Experienced Software Engineer:** 4\+ years of experience in backend or fullstack development, with proven ability to build production\-grade, scalable systems.
* **LLM Integration:** Hands\-on experience integrating Large Language Models (LLMs) into production applications — this is a must.
* **Backend \& Cloud Expertise:** Proficiency in Python or Node.JS, with experience building scalable systems in cloud environments (AWS preferred). Hands\-on experience with microservices, containerized systems (Docker, Kubernetes), and message brokers (Kafka – an advantage).
* **Prompt Engineering:** Ability to design and optimize prompts for LLMs in production use cases.
* **Collaborative \& Solution\-Oriented:** Strong communication skills and ability to work closely with AI, Product, and Data teams to deliver high\-quality solutions.",,https://il.indeed.com/cmp/Sensi-S.r.l.,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/81ded1c403724e14ff7043e5bd3779bc,http://www.sensi.com.ar/web/principal.html,,,,,,,,,,
5,in-eb98c5722a9f7cc9,indeed,https://il.indeed.com/viewjob?jk=eb98c5722a9f7cc9,https://www.comeet.com/jobs/biocatch/03.00E/full-stack-developer/ED.650?coref=1.11.p4E_F51C,Full Stack Developer,BioCatch,"תל אביב -יפו, TA, IL",2025-05-19,fulltime,,,,,,False,,,,,"BioCatch is the leader in Behavioral Biometrics, a technology that leverages machine learning to analyze an online user’s physical and cognitive digital behavior to protect individuals online. BioCatch’s mission is to unlock the power of behavior and deliver actionable insights to create a digital world where identity, trust, and ease coexist. Today, 34 of the world's largest 100 banks and 210 total financial institutions rely on BioCatch Connect™ to combat fraud, facilitate digital transformation, and grow customer relationships.. BioCatch’s Client Innovation Board, an industry\-led initiative including American Express, Barclays, Citi Ventures, and National Australia Bank, helps BioCatch identify creative and cutting\-edge ways to leverage the unique attributes of behavior for fraud prevention. With over a decade of analyzing data, over 80 registered patents, and unparalleled experience, BioCatch continues innovating to solve tomorrow’s problems. For more information, please visit www.biocatch.com.



Are you an experienced Fullstack Developer passionate about using your skills to combat cybercrime and fraud? BioCatch, the market leader in behavioral biometrics, seeks a Fullstack Developer to join our dynamic team.


As a Fullstack Developer at BioCatch, this role requires strong problem\-solving skills, working independently, and a solid understanding of web development technologies.

**Responsibilities:**

* Design, implement, and maintain tools and systems that support our business operations.
* Collaborate with other developers and designers to create intuitive and user\-friendly interfaces.
* Write clean, scalable, and maintainable code using Python and JavaScript
* Troubleshoot and debug issues as they arise
* Stay up\-to\-date with the latest web development technologies and best practices.
* Contribute to the development of project plans and deliverables
* Participate in code reviews to ensure code quality
* Write technical documentation and contribute to the development of internal documentation




Requirements:


* B.Sc. in Computer Science or equivalent experience
* 3\+ years of professional experience in full\-stack web development
* Proficiency in Angular/React/Vue frameworks, HTML, CSS, and JS (ES2015, TypeScript)
* Experience with Python \- a big advantage
* Experience with REST APIs and web services \- Must
* Strong problem\-solving skills and the ability to work independently
* Excellent coding skills with a good understanding of large\-scale architecture and design patterns
* Excellent communication skills and the ability to work well in a team environment
* Be innovative and open\-minded with a strong passion for technology and eagerness to learn new things
* Experience working with AI tools (agents, LLMs, etc.)




Confidential salary:


Yes",,https://il.indeed.com/cmp/Biocatch,,http://www.biocatch.com,Tel Aviv-Yafo,51 to 200,,,,,,,,
6,in-944bd58adef5b39e,indeed,https://il.indeed.com/viewjob?jk=944bd58adef5b39e,https://team8.vc/careers/duality-fullstack-developer/?coref=1.11.p1E_9512,Duality -Fullstack Developer,Team8,"תל אביב -יפו, TA, IL",2025-04-27,,,,,,,False,,,,,"**About Duality**


Duality is a New Jersey/Israel\-based startup at the forefront of developing and commercializing Privacy Enhanced Technology (PET) solutions. Our mission is to enable organizations to gain new insight and develop new services based on data collaboration between different organizations while keeping sensitive data secure in a way that was previously impossible. This makes Duality the leader of the PET market, which is considered the next big thing in digital transformation.


Founded by world leaders in the fields of data science and cryptography – including Prof. Shafi Goldwasser, a Turing Award winner, Prof. Vinod Vaikuntanathan, an associate professor at MIT and a Godel prize winner, and Dr. Kurt Rohloff, a recipient of DARPA Director’s Fellows.

 **About the role**


As a Full\-Stack Developer, you will contribute to developing an innovative, technology\-rich product and have a direct impact on its growth while getting creative and using your problem\-solving skills to tackle challenges.


In this position, you will report to our Platform R\&D Director and work closely with various internal stakeholders, such as data scientists, product managers, designers, solution architects, etc.


Our technology stack: ReactJS, TypeScript, Python, HTML/CSS, AWS, SQL, NoSQL (MongoDB), RabbitMQ, Docker, Linux, and Cypress



Requirements:

* 3\+ years’ experience in full\-stack development
* Hands\-on, proficient in ReactJS
* Experience with TypeScript
* Experience in backend / server\-side / API development
* B.Sc. in Computer Science/Software Engineering
* Knowledge of UI design principles, design patterns, and best practices
* English \- high level, verbal and written



Team8:


Duality",,https://il.indeed.com/cmp/Team8,,http://www.team8.vc,New York,11 to 50,,,,,,,,
7,in-62b5c4f38b9a4774,indeed,https://il.indeed.com/viewjob?jk=62b5c4f38b9a4774,https://team8.vc/careers/team8-seed-fintech-startup-fullstack-team-leader/?coref=1.11.pFE_7514,Celery- Fullstack Tech Lead,Team8,"תל אביב -יפו, TA, IL",2025-04-17,,,,,,,True,,,,,"**Job Description:**


We are a small early stage startup looking for an accomplished fullstack team leader with strong technical skills to join us on our road to change the way finance teams work!


If you're looking to be part of a development team building a system from scratch—touching everything from servers, front\-end, architecture, and even product decisions—we're significantly expanding our team and need experienced people who love the 0 to 1 stage!


We work with **Python/React on AWS.** Experience with these technologies is a plus but not a must.

**Our offices are located in Tel Aviv near a train station, and we work from the office.**

**Why join us?**

* A fun and respectful company culture—it’s enjoyable to come to the office every day.

* Exciting technical challenges and a direct impact on the company's success—no months of meetings about features that will never be used

* High level of freedom and independence—if we’ve decided to bring you on, it's because we trust you, not to micromanage you

* A unique opportunity to join the company in its early stages, with all the potential benefits of stock options and shared success



Requirements:



**Who this role is not for:**

* If you’re looking for the order, structure, and stability of a corporate environment. We’re relatively organized for a startup, but things move fast, and priorities can change overnight.
* If you only want to work on things you're already good at. Even we don’t know what our next challenge will be, so we can't make guarantees.
* If you're looking for a fully remote position. We understand the benefits, but at this early stage, our developer, CEO, product manager, and marketing lead all sit in one room and collaborate closely.

**So, if you:**

* Have at least 6 years of development experience

* Have at least 2 years in a team leader position with hands\-on work.

* Have led complex projects as part of a team

* Have strong **backend** and **frontend** fundamentals.

* Truly understand the technologies and methodologies you work with

* Have a success\-oriented mindset, even in areas where you have less experience.

* Bring a positive attitude and are fun to work with




Team8:


Celery",,https://il.indeed.com/cmp/Team8,,http://www.team8.vc,New York,11 to 50,,,,,,,,
8,in-cc7ace3bb3c94693,indeed,https://il.indeed.com/viewjob?jk=cc7ace3bb3c94693,https://jobs.smartrecruiters.com/Wix2/743999992291304-fullstack-developer,Fullstack Developer,"Wix.com, Inc.","תל אביב -יפו, TA, IL",2024-06-05,fulltime,,,,,,False,,,,,"**Company Description**

With over 30 different products, Wix makes it easy for anyone to succeed online. We build web creation tools and business solutions, mobile apps, payment processing technologies, as well as CRM and marketing tools that help our users in different business sectors and compete online. Our technologies are based on massive infrastructure required to securely and resiliently serve over 220 million users, and their visitors across the globe \- instantly. Our scale is enormous, and our plans for the future are even bigger.


Wix’s product development teams work in a dev\-centric culture, deploy code hundreds of times every day using advanced automation tools, and create methodologies that enable a fast\-to\-production environment. We operate in small highly\-collaborative teams, but belong to professional groups called Guilds, dedicated to personal and professional growth.


We’re proud to be an equal opportunity employer. Wix was built around the idea that everyone has the right to be successful, online. This same vision defines us as an employer: creating a work environment where everyone is welcome, and anyone has the right to succeed.

 **Job Description**

* Become a frontend master as part of our amazing Frontend Engineering team.
* Improve your skills and learn from top\-notch engineers.
* Tackle tough problems and find creative ways to solve them.
* Push your code to millions of users every day.
* Work on cutting\-edge technologies and become an industry leader.
* Write TDD and clean code



**Qualifications**

* An ambitious, experienced Fullstack or Backend Developer who’s excited at the prospect of entering the world of Frontend.
* You’re fluent in server\-side technologies (NodeJS, Java, .NET, Python, Ruby). If you have experience in Test Driven Development (TDD) and Continuous Delivery, that’s a bonus.
* You’re also a self\-learner who is independent but a great team player



**Additional Information**

Wix’s Frontend Engineering group. We have a development culture that is transparent, highly technical and agile. We develop and maintain highly scalable systems that support Wix’s hundreds of millions of users—and the people who visit their websites. Our team leaders set the tone and standard of our developer\-centric culture. They are also mentors of engineers, helping them better themselves, both in terms of technical and human skills, through pair\-programming, coaching and mentorship.",Internet And Software,"https://il.indeed.com/cmp/Wix.com,-Inc.",https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/31568ac47319409e8fc0fdf22e0ad5ee,http://www.wix.com,"500 Terry A Francois Blvd 6th floor, San Francisco, CA 94158, United States","5,001 to 10,000",$500M to $1B (USD),"Wix provides over 200 million users, business, agencies and companies the tools to create a stunning and professional online presence.",,,,,,
9,in-225be0971add6190,indeed,https://il.indeed.com/viewjob?jk=225be0971add6190,https://www.novilis.co.il/press-kit#,EXPERIENCED FULLSTACK DEVELOPER,נוביליס מערכות תכנה,"ראשון לציון, M, IL",2021-11-04,,,,,,,False,,,,,"Over 3 years of experience as a FullStack software developer in large organizations

In\-depth planning and understanding of complex architecture

Proven experience in NodeJS \- a big advantage

Proven experience in Python \- a big advantage

Proven experience in Angular \- a big advantage (or experience in vue or react)

Familiarity with JQuery and bootstrap

Knowledge of Html, Javacript, CSS, JSON

Familiarity with REST

Experience and understanding of Microservices architecture \- an advantage

Experience with git and docker \- an advantage

Ability and experience working in a development team, independent

Bachelor's Degree in Computer Science / Computer Engineering / Practical Engineer Graduate in Computer Science / Graduates of the IDF Technologies Unit / who have completed advanced courses in information systems \- required",,https://il.indeed.com/cmp/%D7%A0%D7%95%D7%91%D7%99%D7%9C%D7%99%D7%A1-%D7%9E%D7%A2%D7%A8%D7%9B%D7%95%D7%AA-%D7%AA%D7%9B%D7%A0%D7%94,,,,,,,,,,,,
10,in-6cc522e6c9da79e8,indeed,https://il.indeed.com/viewjob?jk=6cc522e6c9da79e8,https://datawit.breezy.hr/p/8996ceb968e7-fullstack-developer?source=indeed,FullStack Developer,DataWit,"תל אביב -יפו, TA, IL",2018-10-01,fulltime,,,,,,False,,,,,"**About the Company**:



DataWit (www.datawit.com) is a funded, early stage startup based in Tel\-Aviv. We develop marketing solutions managed by AI. Implemented by various clients, our solution is already showing phenomenal results while dramatically reducing setup and maintenance efforts.


**Job Description:**


We are hiring a Full Stack Engineer to participate in the design, prototyping and implementation of end\-to\-end services that include integrations with our ML infrastructure. As a Full Stack engineer at DataWit, you will have the opportunity to learn, incorporate and utilize the newest technology in order to build a world\-class system that can scale to support our ever\-growing pool of customers.


You'll work directly with top notch data scientists and engineers.


If working in an early stage startup using cutting edge technologies and a dynamic team sounds interesting \- this is the place for you!



**Out current stack :**


* Python 3
* MongoDB
* Docker
* AWS
* Angular
* Git \& GitLab



**Job Requirements**:


* 3\+ years of experience as a full stack developer in any stack
* 3\+ years of experience in Python development
* 3\+ years of experience with MongoDB
* Recent and relevant experience in scalable, reliable, responsive, secure web development
* Experience with cloud infrastructure (AWS)
* Strong skills in JavaScript, jQuery, CSS, CSS3, and HTML5\.
* Must be a team player with good interpersonal skills
* Self\-management skills within an agile fast\-paced work environment.
* Highly motivated and with a passion for learning new things.
* Ability to work well within a team environment that includes geographically distributed team members.",,https://il.indeed.com/cmp/Datawit,,,,,,,,,,,,
